no,category,subcategory,level,question,A,B,C,D,correct,explanation,terms
1,A. Kiến thức cơ khí cơ bản,Units,Basic,Đơn vị SI cơ bản thường dùng cho kích thước cơ khí là gì?,mm,inch,ft,mil,A,"Trong bản vẽ cơ khí, mm là đơn vị kích thước rất phổ biến.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
2,A. Kiến thức cơ khí cơ bản,Units,Basic,1 inch bằng bao nhiêu mm?,25.4,2.54,254,0.254,A,1 inch = 25.4 mm.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
3,A. Kiến thức cơ khí cơ bản,Geometry,Basic,Ký hiệu Ø20 trên bản vẽ chỉ gì?,Bán kính 20 mm,Đường kính 20 mm,Chiều sâu 20 mm,Chu vi 20 mm,B,Ký hiệu Ø biểu thị đường kính.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
4,A. Kiến thức cơ khí cơ bản,Geometry,Basic,Ký hiệu R10 chỉ gì?,Đường kính 10 mm,Bán kính 10 mm,Độ nhám 10,Dung sai 10 mm,B,R biểu thị bán kính.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
5,A. Kiến thức cơ khí cơ bản,Thread,Basic,Ký hiệu M10 thường chỉ loại gì?,Ren hệ mét,Ren inch,Lỗ Ø10,Dung sai H10,A,M là ký hiệu ren hệ mét.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
6,A. Kiến thức cơ khí cơ bản,Thread,Basic,M10×1.5 thể hiện điều gì?,"Đường kính 10 mm, bước ren 1.5 mm","Bán kính 10 mm, bước 1.5 mm","Đường kính 1.5 mm, bước 10 mm",Ren inch 10 TPI,A,10 là đường kính danh nghĩa và 1.5 là bước ren.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
7,A. Kiến thức cơ khí cơ bản,Surface,Basic,Ra 3.2 là thông số gì?,Độ cứng,Độ nhám bề mặt,Độ tròn,Độ phẳng,B,Ra là giá trị độ nhám trung bình số học.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
8,A. Kiến thức cơ khí cơ bản,Material,Basic,A5052 là nhóm vật liệu nào?,Thép carbon,Nhôm hợp kim,Inox,Đồng,B,A5052 là hợp kim nhôm.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
9,A. Kiến thức cơ khí cơ bản,Material,Basic,SUS304 thuộc nhóm nào?,Nhôm,Thép không gỉ,Titan,Đồng,B,SUS304 là thép không gỉ austenitic phổ biến.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
10,A. Kiến thức cơ khí cơ bản,Process,Basic,Phay CNC chủ yếu dùng dụng cụ nào?,Dao phay quay,Đá mài cố định,Kim đo,Kìm,A,Dao phay quay và chuyển động tương đối với phôi để cắt.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
11,A. Kiến thức cơ khí cơ bản,Process,Basic,Tiện CNC phù hợp đặc biệt với chi tiết nào?,Chi tiết tròn xoay,Tấm phẳng lớn,Mối hàn,Chi tiết chỉ có mặt phẳng,A,Tiện rất phù hợp với các bề mặt tròn xoay.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
12,A. Kiến thức cơ khí cơ bản,Measurement,Basic,Panme ngoài dùng chủ yếu để đo gì?,Chiều dài/đường kính ngoài chính xác,Nhiệt độ,Độ nhám,Độ cứng,A,Panme ngoài dùng để đo kích thước ngoài với độ chính xác cao.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
13,A. Kiến thức cơ khí cơ bản,Measurement,Basic,Thước cặp có thể dùng để đo gì?,Chỉ đường kính ngoài,"Ngoài, trong và chiều sâu",Chỉ độ nhám,Chỉ góc,B,"Thước cặp có mỏ ngoài, mỏ trong và thanh đo sâu.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
14,A. Kiến thức cơ khí cơ bản,Drawing,Basic,Mặt cắt trên bản vẽ nhằm mục đích chính nào?,Trang trí,Thể hiện cấu tạo bên trong,Thay đổi vật liệu,Xác định giá bán,B,Mặt cắt giúp thể hiện các đặc điểm bên trong khó thấy.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
15,A. Kiến thức cơ khí cơ bản,Drawing,Basic,Nét đứt trên bản vẽ thường biểu diễn gì?,Đường bao thấy,Đường bao khuất,Đường tâm,Đường kích thước,B,Nét đứt thường dùng cho đường bao/chi tiết khuất.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
16,A. Kiến thức cơ khí cơ bản,Drawing,Basic,Nét gạch chấm mảnh thường dùng cho gì?,Đường tâm,Đường bao thấy,Mặt cắt vật liệu,Đường kích thước,A,Nét gạch chấm mảnh thường biểu diễn đường tâm/trục.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
17,A. Kiến thức cơ khí cơ bản,Safety,Basic,"Khi phát hiện kích thước trên bản vẽ mâu thuẫn, hành động phù hợp là gì?",Tự chọn kích thước mình thích,Xác nhận với người có thẩm quyền/nguồn dữ liệu kiểm soát,Bỏ qua,Tự sửa bản gốc khách hàng,B,Mâu thuẫn phải được xử lý theo quy trình kiểm soát thay đổi và dữ liệu.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
18,A. Kiến thức cơ khí cơ bản,Design,Basic,DFM là viết tắt của gì?,Design for Manufacturing,Drawing for Measurement,Data for Material,Design for Marketing,A,DFM = Design for Manufacturing.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
19,A. Kiến thức cơ khí cơ bản,Design,Basic,Mục tiêu của DFM là gì?,Làm chi tiết khó gia công hơn,"Thiết kế thuận lợi cho chế tạo, chất lượng và chi phí",Chỉ tăng số lượng kích thước,Loại bỏ kiểm tra,B,DFM giúp thiết kế phù hợp với khả năng sản xuất.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
20,A. Kiến thức cơ khí cơ bản,Process,Basic,Bavia sau gia công là gì?,Phần vật liệu dư sắc ở mép,Lớp anodize,Độ cứng,Đường tâm,A,Bavia là vật liệu dư thường xuất hiện tại mép sau gia công.,technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
21,A. Kiến thức cơ khí cơ bản,Heat treatment,Basic,Mục đích chung của nhiệt luyện là gì?,Thay đổi cơ tính/cấu trúc vật liệu,Đổi mã bản vẽ,Tăng số lượng lỗ,Tạo PMI,A,"Nhiệt luyện có thể điều chỉnh độ cứng, độ bền và tổ chức vật liệu.",technical term = thuật ngữ kỹ thuật; requirement = yêu cầu; inspection = kiểm tra
